ID,Posted_date,Job Title from List,Job Title,Job Type,Company,Country,Location,Hard Skills,Soft Skills,Languages,Salary Info,Source
105,01/31/2025,unknown,Florist,Work,GAZIMOVA JAMILA AZIZOVNA,Uzbekistan,Tashkent,N/A,,English A1,5000000.0,hh.uz
106,01/08/2025,unknown,Middle React Developer,Work,CLICK,Uzbekistan,Tashkent,"Git, JavaScript, React, TypeScript","Teamwork, Adaptability","English, Uzbek",,hh.uz
107,01/27/2025,unknown,Project Coordinator,Work,ROODELL,Uzbekistan,Tashkent,N/A,,Uzbek,,hh.uz
108,01/29/2025,unknown,Android / Flutter Developer,Work,HohuBonus,Uzbekistan,Tashkent,"Flutter, Java, Kotlin",,,14300000.0,hh.uz
109,01/30/2025,unknown,Data Scientist,Work,Roznichnyj biznes i MSB,Uzbekistan,Tashkent,"Databricks, Pandas, Python, R, SQL, Scikit-learn, TensorFlow","Problem-solving, Analytical Thinking, Communication",Uzbek,,hh.uz
110,01/30/2025,unknown,Graphic designer,Work,HFS,Uzbekistan,Tashkent,"Adobe Illustrator, CorelDRAW","Creative Thinking, Initiative","Russian C2, Uzbek",9000000.0,hh.uz
111,01/15/2025,unknown,Data Analyst,Work,SP ADM-ASTER,Uzbekistan,Tashkent,"Excel, Power BI, SQL, Superset, Tableau","Analytical Thinking, Problem-Solving, Communication","Russian C1, Uzbek B2",,hh.uz
112,01/21/2025,unknown,Assistant System Administrator,Work,Safia konditerskij dom,Uzbekistan,Tashkent,"Linux, Windows Server","Teamwork, Adaptability, Self-Motivation",Uzbek,,hh.uz
113,01/31/2025,unknown,Safety Manager,Work,Citi Fuel ( Staff Atlantic),Uzbekistan,Tashkent,N/A,"Problem-solving, Teamwork","English, Russian",9100000.0,hh.uz
114,01/30/2025,unknown,IT support specialist,Work,GROUP-IB TSHK,Uzbekistan,Tashkent,"Git, JIRA, Linux, SQL","Problem-Solving, Communication, Teamwork","English B2, Russian C1",13000000.0,hh.uz
115,01/30/2025,unknown,Online store support specialist with knowledge of Russian,Work,Telepilot.ru,Uzbekistan,Tashkent,N/A,"Communication, Negotiation, Stress resistance, Empathy",Russian,3750000.0,hh.uz
116,01/24/2025,unknown,Presentation designer,Work,Mikrokreditbank,Uzbekistan,Tashkent,"Adobe Creative Suite, Adobe InDesign, Adobe Photoshop, Combine, CorelDRAW, Excel, Figma, PowerPoint, Word","Creativity, Collaboration, Problem-Solving, Adaptability, Logical Thinking","English B2, Russian A2, Uzbek C1",,hh.uz
117,02/02/2025,unknown,Data Analyst,Work,Strahovaja kompanija GROSS,Uzbekistan,Tashkent,N/A,"Analytical thinking, Critical thinking, Communication, Teamwork",,9000000.0,hh.uz
118,01/06/2025,unknown,Product Owner,Work,OCTO,Uzbekistan,Tashkent,"Confluence, JIRA","Problem-Solving, Leadership, Communication, Teamwork, Adaptability, Negotiation, Analytical Thinking",English,,hh.uz
119,02/02/2025,unknown,Motion Designer,Work,TOO Kimikosoft,Uzbekistan,Tashkent,"Adobe Illustrator, Adobe Photoshop","Creative Thinking, Attention to detail",,,hh.uz
120,01/29/2025,unknown,Social Media Support Specialist,Work,Servisy Ekoma i Rajdteha,Uzbekistan,Samarkand,N/A,"Problem-Solving, Teamwork, Communication, Adaptability, Self-Motivation","Russian C1, Uzbek C1",,hh.uz
121,01/31/2025,unknown,Database Analyst,Work,KUSUM,Uzbekistan,Tashkent,"Excel, Power BI, SQL","Analytical thinking, Communication skills, Responsibility, Organization, Attention to detail","English B2, Russian C2, Uzbek C1",,hh.uz
122,01/31/2025,unknown,Layout designer,Work,Vades group,Uzbekistan,Tashkent,CorelDRAW,,,,hh.uz
123,01/16/2025,unknown,IT manager,Work,A GROUP MOTORS,Uzbekistan,Tashkent,Windows Server,"Problem-Solving, Teamwork, Adaptability",,25000000.0,hh.uz
124,01/24/2025,unknown,Graphic designer,Work,Mikrokreditbank,Uzbekistan,Tashkent,"Adobe Illustrator, CorelDRAW, Figma","Creativity, Teamwork",,,hh.uz
125,02/01/2025,unknown,Emergency Call Support Specialist in Uzbek and Russian,Work,Jandeks,Uzbekistan,Tashkent,N/A,"Stress Resistance, Empathy, Problem-Solving, Teamwork, Adaptability",Russian,,hh.uz
126,01/14/2025,unknown,IT specialist,Work,BYD UZBEKISTAN FACTORY,Uzbekistan,Jizzakh,"Linux, SQL","Teamwork, Problem-Solving, Adaptability, Communication","English C1, Russian C1",,hh.uz
127,01/15/2025,unknown,Specialist in Retail Department Head Office,Work,InFinBank,Uzbekistan,Tashkent,Excel,"Communication skills, Analytical mindset, Multitasking","Russian C2, Uzbek C2",,hh.uz
128,01/13/2025,unknown,Cybersecurity Specialist,Work,CRPT TURON,Uzbekistan,Tashkent,Linux,,"English A1, Uzbek",15000000.0,hh.uz
129,02/02/2025,unknown,Tester / QA Engineer in the office,Work,XCDM,Uzbekistan,Tashkent,PostgreSQL,"Critical Thinking, Problem-Solving, Communication, Teamwork, Adaptability",English B2,,hh.uz
130,01/09/2025,unknown,QA engineer tester,Work,Open («FUTURE OPEN TECHNOLOGY GROUP»),Uzbekistan,Tashkent,"Android Studio, Charles Proxy, SQL, Selenium, Xcode","Analytical skills, Problem-solving skills, Communication skills, Teamwork",,19000000.0,hh.uz
131,01/30/2025,unknown,Technical designer,Work,Vasaka Pack Group,Uzbekistan,Tashkent,CorelDRAW,"Problem-Solving, Adaptability, Teamwork, Communication, Self-Motivation","Russian B2, Uzbek B2",7500000.0,hh.uz
132,01/23/2025,unknown,Intern Forensic,Intern,«KPMG AUDIT»,Uzbekistan,Tashkent,"Excel, R","Communication, Problem-Solving, Adaptability","English, Uzbek",,hh.uz
133,01/27/2025,unknown,Technical support specialist at Yandex Advertising Network,Work,Reklamnye tehnologii,Uzbekistan,Tashkent,"CSS, JavaScript","Problem-Solving, Logical Thinking, Communication","Russian C1, Uzbek C1",5214000.0,hh.uz
134,01/24/2025,unknown,Data Analyst,Work,BEST ALBINO,Uzbekistan,Tashkent,"Excel, Power BI, Qlik Sense, QlikView, SQL","Problem-Solving, Analytical Thinking",,6000000.0,hh.uz
135,01/07/2025,unknown,Middle Backend Developer Python Django,Work,United IT Company,Uzbekistan,Tashkent,"Django, Docker, Git, JavaScript, PostgreSQL, Python, SQL","Creativity, Initiative, Teamwork, Communication","English, Uzbek",15000000.0,hh.uz
